,message,label,split,clean_message
Я под шпаком

Спам тиккерами пешушара
Позор путинским ментам.
Всех гебешников на фонари!
так ты получается фуфло раз словам своим не хозяин,я сейчас специально лазил в чат обычки и читал все декабрьские посты и я не нашёл ниодного своего поста или комментария с прогнозом на 60,более того, я тогда в обычке в шортах был и закрылся в минусах,про префы тоже прогнозы не давал хоть и в лонге .
Выходит что ты не мужчина,а фуфло раз за рот свой ответить не можешь ...

Не санкции а пшик... За них сисяну уже и жениха нашли.
Колоть расейскую вакцину, этот как и обращаться к расейскай медицине -пеняй на себя!
Где этот Чертов дизлайк с кнопкой пшелн не пойму никак

Диванные памперы повылазили
Какой контингент? Не быдлосексисты? Кто Вас там обидел, мне не интересно если честно, просто сложно было молча пройти мимо Ваших шовинистически патриархальных оскорблений
У пендосов завтра рождество

Петухи они просто
Наши Коляны не дадут ему абонкротится
Задрали урки писать,сидит  тюряге и обманывает сердобольных людей,не верьте! Это типо,кинь на счёт 100руб.,я сломался в дороге, позвонить не могу.

Да а мудератор спит...
Хватит тут пиз....ть и шухера нагонять про эти слухи
«Ебаный рот ихнего казино, блять»

У говноеда
Шорты вышибли.
я к тебе и не приставала существо. Иди молись путину. Отвянь от нормальных людей. Лицемер

Че упыри зашипели только при упоминании Путина. Весь запад скоро просить вакцину у нас будет. Вперёд Россия!!! Путин-рулит!!!
да что мне с тобой дурой кошельком мериться если ты в фтр уверовал на 0?50 сойдешь)))
Опять этот гугл-переводчик корявый!

Визг хомяков из России будет на nyse слышан ?
хорошо что ты есть, приятно понимать что здесь ты не главный мудак.
стукачь, таких как ты в школе головой в унитаз окунал, ещё и дамский лизун, короче петух другими словами

Очередная балаболкатолько чат засерать.......
Они забивают твою плоть белыми червичками )))
Траблы с башкой у импозантного дегенерата,

Этот баблонасос, хуже однорукого бандита, результат растянут во времени, и печален, ну типа, как с киви, всем спасибо и давай дасвиданья
Бан цыганок
Над собой угорай, клоун...финансовый гуру???

эти негодяи собирают мои стопы и сразу идут вверх, так нельзя, стопы сбивают и ниже этих отметок не уходит, а сразу бежит вверх.
Команда дебилов
Ты какой из хомяков будешь ? По 834 вроде бы ?))

Пидарок
Компенсируйте потери, олухи, комиссии оставьте себе, делают из людей баранов
Тыж призывного возраста, с лопаткой на амеров нападешь?)

Пиздун
Опять байден будет срать в наших подьездах
медленно падаем для развода хомяков

Вы с командой - дебилы
чтоб ты знал, обоссаный. Я за жизнь заработал денег столько, сколько твое поколение опарышей еще лет 100 не увидят.
Ваще бесит эта хрень. Ладно бы еще на людей налоги тратили. Так ведь разворовывают, сволочи

ну ты дятел - достаточно посимотреть на национальности спортсменов заразившихся короной, реально ты обезьяна с гранатой)
дураки здесь все только вы, которые пишут , завтра 700, завтра 200... лучше быть в бане, чем с вами даунами узкомыслящими общаться.
И кстати, кидаю дизы всем сраным инфоцыганам, рекламящим свои говноканалы в говнотелеграме, где они разводят говнохомяков на платные говноподписки, гоьвносигналы, говнообучения и т.д. 

Весь этот биомусор достоен крематория)

Сейчас хейта словит, хомяков наберёт, и текущий пост удалит, пока Тинькофф не забанил.
А после, позже, создаст просто новый пост, как ни в чем не бывало)
Коллеги, не жалейте дизлайков и репортов для этого спамера.
Работы по нему, и таким спамерам как он, уже ведутся. Скоро им негде будет разгуляться)
это ты сосал. А я уже читал Джованьоли. Более того - пытался писать тексты. Так что по себе не суди, обладатель лишней хромосомы.
Да тут подсыльных засыльных куча да ещё содружество шортистов достали... держим

Видать амеры поднимают
Почему хохма? 
Всё по плану идёт.
Вообще пизд...

скажи папе Карло, что сисечки нужно делать там где сучкИ, иначе так доской и останешься. Надеюсь сучкИ у тебя на уровне груди, иначе затея так себе.????
я и не удивлён что ты чего-то не понял. Наверное, даже нет смысла объяснять...  Когда человек чего-то не знает, это не страшно. Печально, если даже и не старается учиться, как в твоём случае. Да ещё и кичится общением с бизнесменами. Тьфу, противно. Испанский стыд испытываю...
Боже мой , этого гуся ещё не забанили ? Депозит до 10 к походу все и потерял . На таких оленях шортистах как ты , Тесла и стреляет . Продолжай козлик

Не нагоняй страха на людей
Хули не баните этого пидараса?
Ты же не хомяк,ты хрен моржовый, спекулянт..и то неумелый,зачем вешать лапшу на уши...,а,ну да,лох не мамонт,не вымрет

а вот и очередная проститня выоезла, тупой чмошник-спамер
Согласен с автором. По сути его депортировали, кинули в жернова, делают из него некого мученика, пушечное мясо, предлог для санкций. И это очевидно! Только тупоголовое хомячье этого понять не может, ну на то они и адепты свидетели берлинского пациента. Отработанный материал.
Скоро уцелевшие хомячки наденут шорты, и начнется резня шортистов

Бесят люди с ёршиками
И сам бахнул тикерами, слышу вой на болотах!
очередной спамер со своим аналом вылез

...и про собаку на ушко мне шепни, не через монитор. И потом посмотрю как ты срать в штаны будешь.
да..)))
Раздраконили вонючки! 
Прям хоть автомат бери в руки!
он же гнилой

Ну их в жопу с этой помощью
ну ты наркоман со стажем)) Часопик это героин,а ETRN это боярышник)))
Без обид ?
Че за олени тут спамят свои говноканалы

Наебали нас
Хаха ватному поцреоту припекло.
Дебилов еще хватает. Лысых.

Байрона, похоже, засудят
Вообще жопа какая та
Заколебали инфоцыгане. Через слово смайлики и хэштеги.

Мне твоя телега вместе с тобой даром не надо)) 
Ещё один горе предсказатель для лохов. Бгггг))))
В телегу передйут господи...
Тут все походу зашли в поддержку хомяка ?? я всю катлету шмякнул сразу на движуху ??

Здоров придурок, что не ржешь, не смешно уже?  А я угараю с таких тупых игроков на бирже, как ты и тебе подобные. Как можно быть таким тупоголовым, с таким минусом в портфеле, самое интересное вас таких целый отряд. Вам обьединиться нужно и держаться вместе.
дурень, ты свой тупой комент то прочти...
Пиздула...што только не сделают от недостатка внимания. Последний хлебушек в голове и тот спиздили.

с тобой не о чем разговоравать. Совсем. Даже ответить за себя не в силах. Мне тебя стало жаль. На тебе таа природа отдохнула. Только повторять за другими и можешь. Обезьяна.
Вот именно, что пошло в ход то самое, о чем ты говоришь, но начал ты. Вместо того, чтобы переспросить, что я имел в виду, ты строчишь здесь обучающие посты для меня, что такое EPS. Думаешь, здесь есть вообще люди, которые этого не знают??? Выглядишь глупо, да еще с таким депо учить кого-то. Поэтому не позорься?
хрена с два, 404, на данный момент бумага недоступна ? Ни с компа, ни в приложении)

Ума нет - считай, калека
Дерьмушник
Хомяки и еретики

Пидарас пидарасина
Еще вижу двегорбного верблюда, который скоро голову поднимет
Надо всем отсюда уходить 
Им на все чхать...?

Делай как хомяк
Ща появится говно, которое скажет, что он шпиён
Раздают хомякам которые толпами идут на биржу )

Баффет не цыган, вы что то напутали.
Зассал
Александр Герчик. ...

Евгений Больших. ...

Алексей Афанасьевский. ...

Олег Дмитриев. ...

Вот кто научит реально трейдингу , мне в жизни помогло .

ты ваще закрой варюшку баклан. Табе не дано рты закрывать! И кто тут псы? Ты шакал поганый
на логине ?))) с головой как дела обстоят? Логин и никнейм одно и тоже для тебя?) бабы меня не обидели , очень даже люблю свою девушку, слава богу мозгов у неё куда больше, чем у тебя. Просто прежде чем писать такую неуместную глупость, которая похожа на речь душевно больного человека, который совершенно не проанализировал и не изучил бумагу. Я воспринимаю данный текст как спам по бумаге. Удали не позорься
А ты видимо один из подленьких Украинцев с Донецка или Луганска. Запомни, предателей нигде не любят. Так что молчи... Укаринцы плохо живут... эту басню только по телеку крутят, все у них прекрасно.

Зачем же её так ругать. Она и так бедняша еле удержалась.
Знаешь) Люди делятся тем что у них в избытке!
Ты вот любишь людей оскорблять не подумав своей головешкой бестолковой...
Лично я выбрал путь делиться свои опытом с теми, кому это нужно!
Те сделки которые я не закрыл, я их торгую и отчитываться за них не обязан...
Что-то не нравиться, иди лесом и не шурши лишнего!
Они нагадят побырому и уйдут

Жалобу на петушню
Вангую наврятли
И донат кидай

Педерасты просто
tsla все нервы выматала стерва
я отвечаю и объясняю весьма охотно, но не таким наглецам как ты. И не таким истеричка как ты, которые привыкли а тому, чтобы за ними оставалось последнее слово.

Это что за ебанашка фейковая?
ооо спасибо! Я лошара... Даже не посмотрел. Со свечей не переключался тысячу лет
Бан даун

Но походу сегодня нужно быдло в солар идти)
Надеюсь что он рофлит, такой кринж нести нельзя даже в умате
Заипали они ,тянут тянут ...

Авада Кидала
Из за таких злых ублюдков как ты вся Россия и разваливается по одной простой причине - злость к людям, желание сделать зло другим, на ближнего, н умение строить команды и помагать ближнему... Неееет, такой мелкий народец как ты среюёт другим и сам ходит с порваной кишкой в ж
Вот это любителей халявы собралось ????????

хахаха слился короче
Шортисты раньше постучат как чикены
на пуканах шортистов

Пиндосы - одним словом
Мы это те кому на глаза эта чушь попадается которую вы пишите как под копирку
Беги отсюда, глупец ?

Так Европа задрала ,но всеровно пиндосы козлы
Спешите видеть, рептилойды грабят простых русских людей!
Надо было блохеров и инстасамок, норм полетели бы

Безумцы. Счас валотильность невменяемая.
Если эта какашка и на этом не полетит, то это мертвая какуля и ее надо кидать
харлей это дерьмо кому нужно оно? дутый рост, скоро рухнет

Ребенок? Скорее чудовище, порожденное путинской системой.
Тихо плачем в подушку, обогреваем квартал пуканами, просим прощения у нервов
Блин, да он слабоумный какой-то...

бляд вот жоп я уже обрадовался что продам ее нах
зашел на хаях, прокатился на хуях так сказать.
как правильно читать, писюлька? И почему у тебя ава моей сестры?

Новую партию хомяков пора сажать)
Да вы задолбали с этим тупым вопросом! 
Акция не российская, она торгуется ОТС, там буржуи скупят наши фантики за копеечки
Дебилы

Молодец Путин так с ними и надо  .педики западные.кому ненравится валити к ним
Хомяки решили по самоубиваться?)
Тот Киркоров

ты всех в свою жоп...приглашаешь или только меня ?... Я отказываюсь от приглашения ?
Будут тут всякие с всего лишь +44% нас учить. ХОМЯК!!!
Задолбали хейтеры

рыбаки все пиздаболы ?
Ты аккуратно с вбросами.. в бан загонят
« Будит не будит» Господи, вы бы язык русский подтянули в перерывах от гаданий.

Да это не кремлеботы. Это запутинцы. Они в сказке живут. И дальше носа и зомбоящика не видят.
Этот русский всех надурить
Что за пиздец, нахера я её скинул, сказали де что гг ей

Х*ли нам кабанам, на*бемся да лежим
ну на рожу вроде не свинья. Заканчивай в дауна играть может жить проще будет. Хочешь я тебе на пивас денег скину только больше бред не пиши
Ещё раз повторяю, ЗАСУНЬ СЕБЕ СВОИ СОВЕТЫ. У меня ровными счётом никаких проблем. Я задал всего лишь один вопрос и задал его НЕ ТЕБЕ. Поэтому не суйся со своими советами и предложениямин.

Цыгане задолбали
Да не чуваки все просто он лохов по всему инету ищет они смотрят его лабуду, он за просмотры от ютюба получает лаве, бах лимон в кармане.
Тошно уже от этой теслы, надо ж было вляпаться

Совесть есть? Им без этой Модеры сосать не пересосать...
Какой негодяй
Уймись, хохлина.

там плита пиздец
Заипали твари
Бляха как же достали

Опять накуканят хомячков ??
Хомяк - вылитый Олейник, как так то?
Если на матах с ним говорить , забанят меня а не его. Где справедливость...

Некая логика в этом есть.

Биток чуток шандарахнул веслом по голове наивным авантюристам.

Тесла-авантюристы могут увидеть этот кейс, ссыкануть и запустить цепочку.
Жжёшь, генерал Хомяков
это не хохлы, я как нормальный хохол так не говорю. А то галимый нацист

ишак ты черножопый
На пенсию Меркель видимо деньжат подкинули, вот и заговорила об санкциях. Наших хоть лбом об стенку бей, всё равно под англосаксов прогибаются!
а это ты, дегенерат, который не знает слова отчет? )

Если не заблочат за попрошайничество, то не поленюсь и в поддержку еще стукану.
лять. Ты реально тупой? Причём здесь вообще сплит. Даже маск сегодня сказал, что тесла столько не стоит и в любой момент может все рухнуть.
ММ умеряет пыл хомяков

Хер им на нос пусть банят рукожопы
Инфоцыгане сюда добрались
Шортистов-хомяков? Да

Караулили сцуки(((
мы все давно поняли, что ты ватник
Пока
Пообщались и хватит
Если ты считаешь, что государство - власть
То иди в КНР или северную Корею
Там таких любят
А Россия (напомню) уже больше 30 лет как демократическое государство
Вот только проблема в том, что из-за таких ватных уебанов как ты (да именно уебанов) типичный рузких терпил (именно рузких),
Которые терпят все говно
Пенсионный возраст подняли, ну дядя Вова говорит так нужно
Ну в конституцию бога вписали, ну так нужно
Так вот, из-за таких как ВЫ господин наш ватник, мы к сожалению, не имеем экономики, не имеем нормальной власти, мы не имеем развития, мы не имеем нормального образования, мы не имеем нормальных зарплат, мы не имеем нормальных производст и тд
И проблема не в 90ых, а в том, что в старый совковые ватники, не привыкли жить свободно, вам бы царя и правил чтобы
Ну так вот дядя Вова и правит над вами, хоть демократия от слова Демос, что переводится народ
То есть, у тинька и СПб биржы гнилые мутки?

да уже как-то пох)) удалить приложение и месяц не входить, а то и больше, пережить эти ралли спокойно, потом взглянуть одним глазком и ещё на полгода забыть
ну что обиженка дождалась 3950????лузер. Смотрю на цену твоих закупок-ты здесь на долго. ???знаток х,,ев
Прогнозы, ставки... Лох не мамонт.

Эй Вася а ссылку на телегу свою оставь, вступить хотят человеки за такими вот инсайдами
Ты закрыл, а 2 десятка мелкошортистов а валидолом побежали )
Тупая мрразь продавай)

А остальные дебилы дрочеры повелись ))))
Кукан хомяков
Суки, наепщики. Поглащение красной свечи, а потом сразу поглощение зеленой и вниз. Ну не мрази ли

ЖАЛОБУ ЗА ПОРНОГРАФИЮ НА ЕГО КАНАЛ КИДАЙТЕ, ТОЛЬКО ТАК МОЖНО БОРОТЬСЯ С ПЕТУШАРОЙ
Поговорка: Чего обижаться когда из тебя шашлык делают,если ты- баран?  Не парься, всё будет хорошо?
Могут и пошутить пендосы и наперекор всему поднять

Кто-то в писе, а я на 61% в жопе. Вот как-то так((
несколькими постами ниже твой коммент «скоро 17». Раздвоение личности или ты просто троль?
дурачек? Почитай о чем дискуссия прежде чем влезать. Впрочем судя по всему для совков такое поведение в порядке вещей

Потому что колют мозги массам вакцинацими :)
Налетели инфоцыгане... Как же задрали такие мамкины трейдеры
ты клован

1.5 ярда, да и ещё которые отдать надо хрен знает когда, да накупил бы жилья в москве и в мо ( ближайшее с метро) и сдавал бы)))и лямов 100 в трейд
ахаха, ты врун еще тот.  Я постоянно натыкаюсь на твоих последователей, потерявших деньги. А подписчики накручены твои. А сам ты мошенник и балабол. Три копейки свои шортишь а ору как будто ты прямо инвестор с мозгами. На самомо деле нет конечно
Опять хомяки не могут успокоиться

Теперь и в пульсе эту деситялетнюю фейк новость кидают
Сейчас постоим потопчемся, сбросим шортистов, хомячканистов, попадаем, порастем.
Каждый день выступают эти твари. Они хуже сообщений Трампа.

ахахвхвх хомячье сердце остановилось?
Брат... Ухахаахах ?
Плюсану автору, задолбали эти пройдохи бестолковые со своими каналами-аналами уже, всё заспамили, при чём сами дурни полные в вопросе и ведь ведутся многие, лох не мамонт ухле, не вымрет

«Созвездие идиотов» - комментарий Гуцириева на обыски.
надо быть дауном чтобы открыть счёт и сидеть около бумаги и что-то писать будучи пустым. ?????? нет, если такте есть, то я больше не зайду в пульс.
ну вот вы дебилы? Нет?

Я что написал в посте? Вы мозги, блин, включите свои. ?????

Выдыхаю ? и просто всех пачкой в блок

Такому лудоману тесловому ещё кто-то бабки вверил?
Погнали погнали, раком поставим эту быржу пендосятскую
буду продавать на каждом росте, эта тварь должна лежать и знать свое место ))

ты че, рогозин-мракобес? Какой херам   священник?
Не обращайте внимания на тупых людей. Их, к сожалению, в мире большинство
Какие же все тупые...им объясняешь, а они упёрлись как бараны.
Автор всё правильно пишет

Сука хуета чистая
Батутный клоун опять сходил под себя?
Там лютые вбросы бюллетеней в Мичигане прошли, Байден похожу выиграет, но Трамп будет судиться

Господи, да всем насрать
Уже вангуем
а Путин? Как конференция так божий одуванчик. Все они писдаболы

Экстремистское существо  наконец то приговорили. 

Осталось шайку его безмозглых последователей разогнать. Малолетних любителей мифической свободы и демократии.
мы гусские не пь?м, мы русский спаиваем.
Жалобу кидайте на эту собаку, был мужиком стал бабой, донаты он принимает. Сам зарабатывай евнух, мы тут все работяги!

Лося жалка...
я хоть и согласен с тобой в том что у газика цена неоправданно высока, но как же ты уже зае.. ал с одной и той же песней, с одними и теми же аргументами, уже месяца три, как мантру повторяешь одни и те же посты, в телеге отписался от тебя, т. к. думал что будут здравые рассуждения, информация и т. д. А там каждое утро один и тот же петух кукарекает
Только на хрена вам это ? нужно?

Трамп хитрый гнида....
не суди по своим меркам и ощущениям , холоп ... я россиянин , а не быдло
ага. щас хомяков постригут и в боковик

че махача не будет?  ну хоть за волосы чуть-чуть подергайте
а ты можешь заранее предсказывать куда акция пойдёт если да то точно дебил
Как же вы задолбали ссаные школьники

Это что за бредятина сивой Кобылы??? хорош уже всякий бред здесь выкладывать, вы хоть фильтруйте немного информацию
Задолбался я эти волны ловить .скок можно
Жалко юродивых. Им на Руси всегда подавали копеечку. Хоть донаты открыл бы себе этот чел)). Мож,кто скинулся

Это жертва ковидлы после Спутника V ??
Положил 10 тыс и у же всех с толку сбивает, засланый кащачок
Позорище для тех, кто сливает. Народ либо не слушает, либо головой не думает

Этот жирный может только сожрать три поросёнка разом вместо Брынсона
ты вылез из говна в минус и лезешь носом туда еще раз, не аутист?
Выдает идеи Кирыпроныры за свои

Это не крутой трейдер, а гандон штопанный, который продаёт да деньги сигналы левые пальцем в небо. Долбанные цыгане
Это пидерасты ждут ракиту в ж опу... Потом вслед за Содоммой и Гамморой
Вот пидар

Он же за геев и всякой петушни. Вот и любят его такие сосестра
хомяки поддерживают!
Да кто к вам с такой дерьмовой рекламой пойдет ,это же нужно ещё тупее вас быть

с пробором еще пидараст
Мы лезали мы лезали наши губоньки устали...
Я с Тинька торгую или пытаюсь.

Зачем баба, когда есть тесла?!?
Просто льется как параша
Ещё не вечер. Черчилль второй фронт должен открыть, алойзовичи, ну и под конец спектакля, как обычно, выходят мазафакеры.
Жуем попкорн ?

Шортисты их себе в задний проход пихают
Да он просто пидр
Смело. Ой забанят. Но поржал

Да они ещё и пиндосы!
извини я по интонации не понял, ты в моем посте сомневаешься ? Или трейдингвью считаешь за идиотов ???
Тут хоть какая то движуха, майл в обще застолбенел

Отведайте лосятинки.
Вообще жопа, а не приложение...сплошная нервотрепка
какой же он урод

Давай к нам в чат шортистов, все основные уже там (вадим, паша артищев, комрад, и многие другие) 
Кидай свой ник в телеге
Перестанем здесь хомячков пугать
Развели тут хомяков. Повелись на дивы.
Очередной ублюдок..

Хахахахахаха, и что?
Пшёл в жопу
да, это звиздец

Так надутая же была Хайпом
Думай только своей головой.
Надоело в этом гавнобумаге сидеть,ещё гандоны из Тинькова так нахваливала.

Нахуй цыгане
Лишь бы не колятина
Втб гос помойка, коллекционер токсичных отходов с невнятной политикой и планами, с не эффективным управлением, имхр

Лети в Ухань.
Зоошиза лично забанил
Этот пройдоха еще всех поимеет

Отлезь гнида
Иди нахуй отсюда, заебали ванги хуевы.
Ой бляяяя, набежали попрошайки

Ралли хомяков!!
всех не пересажают, пидоры
оно у меня и закрыто. Я ж молча печатаю, что ты быдло. А не говорю это вслух

Стрёмный банчишко.
кто такой Ельцын? Горбачев же!?
Это медвежий писюн

Там амеры каждое утро ржут над Иванами
Это чтобы иванов завлечь в ловушку.
Педерасты

Зачем такие люди засирают своими вбросами-высерами ленту, основанными на ничем
Как же вы задолбали тик токеры хреновы. Какой смысл засирать эфир высерами. Идите клейте девочек в инсте, вместе с  еженедельными отчетами о своих действиях и эмоциях этих девочек.
откуда ты знаешь сколько я зарабатываю?) И где живу?) ?????
Короче че с аутистом (berg гугл поможет в определении слова?)  общаться) Автор прости за срач ?
Оставляю этого Лося с самим собой наедине ?

А может хомяки ? покупать набегут
ты главно держи свои губы подальше от моих сосков?
Какая-то крохоборская возьня

Ору с экспертов в проперженных труханах на продавленных диванах. Уж им-то виднее, как Путину нащелкали по носу?
Золотые слова , а на самом деле смотрю на этих старых пердунов и чем то напоминает советский союз брежневский оба одной ногой в могиле а все туда же за власть рубятся и яано до простых амеров им побороде
.....
фонд хомяков

хохломакс
Ещё один хомяк посмотрел Сисяна ?
Зато когда сиплый катится, она следует за ним

Конченный маразматик
Стряхивают ссыкунов
Гомосеки там... Видели

Репорты кидайте бомжихе
Думаю эти упыри уже слили её по 19+ а наши остались на убой, как лохи
забаньте уже этого имбицила

Шортунам пизда,
омг? что ты несёшь, ты такой глупый, что про только додумался про говно, о боже откуда вы такие вылазиете, явно ты через сраку раз любишь говно и говноедов ??????
Синемарк летит на дно, а эта сволочь в космос, какого попугая

Здесь люди злые. Так что донаты только за нюдсы
да х.р там! он откупится с такими то барышами
Эта гнида, половину пульса разводит, он просто сволочь, требую его немедленного бана!!!

хомяков набрали и снова сливают
Я такая же херня?
я знаю что ты любишь чтобы те ссали в рот, какое куни???

Я тоже долбоёб
Источник то напиши, а не вилами по воде, лиш бы ляпнуть
а чем твой этот беспонтовый тупой маргинальный пост лучше чем любой из постов   ???
Она хотя бы по поводу торговли постила,а не вела себя как ты

Это жопка(
Чисто гопарь сибирский развел лохов
повторюсь  следите за языком своим ...вас похоже в школе или в детстве били и вы лошара раз позволяете в таком тоне писать не зная человека , вы никто и звать вас никак , неудовлетворенная личность , уважать вас может только ваша собака

эта шкура дырявая просто хайпануть захотела, не надо вестись на подобное
Эти две гниды с двух сторон раняют
Вообще не стыдно, кинул репорт и ещё раз кину, если потрэбо

Если бы газ подорожал на 241%, то тогда бы может быть... Смотрю на свой депозит в газпроме и свине, смотрю на теслу со стороны и оху...ю??
Когда уже завалят этих петухов с реддит
Я чего тотшорчу, а она сегодня все на верх и на верх

детка, ты чо тут делашь? В кэше вроде была. Жопа нашла приключение?)))
То есть с p/e = 98 это недооценена компания? )) при среднем для пендосов 25...
Опять нищеброды побираются

Ну и хорошо, что так...Я считай на всё зашёл...Пох что падать будет...не понять ни хрена...
Найс ава, холоп
Миллер гавно Путинский дружбан, гнать его от туда вот и весь ответ

странно. Сколько у тебя их. Если ты такое говно
пиписьки в ход пошли, первый класс) посмотри 2019 год, плюс 101% к депо)) у тебя подписчиков столько явно не от финансовой грамотности. Видимо анекдоты тут травишь
бан. задолбали

нету у меня ни хрена только куй и душа как у латыша
Трампу вкололи сыворотку по замыслу Байдена, чтоб он начал нести чушь и проиграл выборы?
Почему Дебилы то ? Вы думаете полёт от продаж зависит ?

Лишь бы не ниже двинули эту скотину
Ахахахахахахаха
Рвутся жёпы хомяков: как так? Батарейка не растёт по 5-7% в день????
Хуюхнет

Дибилов с глупыми советами нынче много развелось...
Надеюсь Азия нас не кинет, как пиндосы
Да не дают суки росту. Вон какие плиты. Блять.

Тогда я закурю и ?
Скачет весь день как мандовошка, нервы треплет!
Пацаны по еврейски маленький х..й

Проблему финансирования «зазывал» для хомячков решили . Баффетовны ликуют !!
Слепой что ли ?
Потом лонгустов накуканят

я тот рот шатал
Чувствуется русско-народная быдлота! ?
Бездельникам на улицах тоже надо кому кэш выдавать

зато не петушара тупой. Надеюсь ты понял , кого я под ? подразумеваю. Или опять не дошло ? А , петюня?)))))
Хер тебе, вырастит то ,что должно LMT, а не эта падшая курица.
Англичане чтоб не пампанули

Пульсу официал насрать на всяких имбицилов. Жалобы В никуда уходят
да амеры сами походу еще шорт добирают.
Он Чумачечший

????? русия мать дебилами полна.
дебил,че кроме них никого нет чтоли
Вообще спайс в сиплом

не зассал поржать над теми, кто за свои интересы пиздюлей получил? Начистить бы тебе твой пятачок
да нипочему, потому что он шлюха
Задолбали вы уроды уже.. как цыгане по дворам ходите..жадные животные.. даже людьми не назвать... каждый день новые учетки создаете...
